,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
484,2021/08/06 03:11:03;;;;;;;3.72;2.85;;;22.30;64.00;;;;;;5091975;28;20489;-40
485,2021/08/06 03:13:28;;;;;;;3.63;2.97;;;22.30;64.00;;;;;;5091923;28;20032;-40
486,2021/08/06 03:15:54;;;;;;;4.07;3.20;;;22.30;64.00;;;;;;5091742;28;20016;-40
487,2021/08/06 03:18:19;;;;;;;4.63;3.08;;;22.30;64.00;;;;;;5074190;28;20016;-41
488,2021/08/06 03:20:45;;;;;;;4.30;3.13;;;22.30;64.10;;;;;;5091892;28;20028;-42
489,2021/08/06 03:23:10;;;;;;;3.15;2.85;;;22.40;64.10;;;;;;5091754;28;20027;-40
490,2021/08/06 03:25:36;;;;;;;3.83;2.83;;;22.30;64.10;;;;;;5091649;28;20078;-40
491,2021/08/06 03:28:01;;;;;;;3.40;3.10;;;22.30;64.10;;;;;;5091598;28;20138;-40
492,2021/08/06 03:30:27;;;;;;;3.35;3.05;;;22.30;64.10;;;;;;5091706;28;20398;-46
493,2021/08/06 03:32:52;;;;;;;3.30;2.97;;;22.30;64.10;;;;;;5091602;28;20039;-41
494,2021/08/06 03:35:18;;;;;;;3.80;2.95;;;22.30;64.20;;;;;;5091752;28;20463;-43
495,2021/08/06 03:37:43;;;;;;;4.47;3.20;;;22.30;64.20;;;;;;5091736;28;20056;-46
496,2021/08/06 03:40:10;;;;;;;3.35;2.97;;;22.30;64.20;;;;;;5091629;28;20381;-46
497,2021/08/06 03:42:36;;;;;;;3.60;3.00;;;22.30;64.30;;;;;;5091599;28;20016;-46
498,2021/08/06 03:45:02;;;;;;;3.65;3.35;;;22.30;64.30;;;;;;5091551;28;20035;-46
499,2021/08/06 03:47:27;;;;;;;4.57;3.70;;;22.30;64.20;;;;;;5091774;28;20550;-41
500,2021/08/06 03:49:53;;;;;;;3.85;3.28;;;22.30;64.30;;;;;;5056714;28;20368;-43
501,2021/08/06 03:52:18;;;;;;;4.32;3.53;;;22.30;64.30;;;;;;5073265;28;20036;-46
502,2021/08/06 03:54:44;;;;;;;3.90;3.10;;;22.30;64.30;;;;;;5077738;28;20031;-40
503,2021/08/06 03:57:09;;;;;;;3.33;3.03;;;22.30;64.30;;;;;;5077423;28;20019;-40
504,2021/08/06 03:59:35;;;;;;;5.80;3.50;;;22.30;64.30;;;;;;5060686;28;20025;-40
505,2021/08/06 04:02:00;;;;;;;4.40;3.50;;;22.30;64.30;;;;;;5095624;28;20089;-40
506,2021/08/06 04:04:26;;;;;;;3.90;3.50;;;22.30;64.30;;;;;;5095353;28;20032;-42
507,2021/08/06 04:06:51;;;;;;;4.70;3.30;;;22.30;64.30;;;;;;5095162;28;20095;-42
508,2021/08/06 04:09:17;;;;;;;4.80;3.45;;;22.30;64.30;;;;;;5095154;28;20479;-40
509,2021/08/06 04:11:42;;;;;;;3.85;3.13;;;22.30;64.30;;;;;;5095278;28;20085;-42
510,2021/08/06 04:14:07;;;;;;;4.50;3.45;;;22.30;64.30;;;;;;5095017;28;20110;-43
511,2021/08/06 04:16:33;;;;;;;4.05;3.47;;;22.30;64.30;;;;;;5095269;28;20089;-44
512,2021/08/06 04:18:59;;;;;;;3.50;3.20;;;22.30;64.30;;;;;;5095235;28;20020;-41
513,2021/08/06 04:21:24;;;;;;;4.03;3.63;;;22.30;64.30;;;;;;5095025;28;20028;-46
514,2021/08/06 04:23:50;;;;;;;3.92;3.30;;;22.30;64.30;;;;;;5094998;28;20047;-42
515,2021/08/06 04:26:15;;;;;;;4.07;3.55;;;22.30;64.30;;;;;;5094937;28;20032;-41
516,2021/08/06 04:28:40;;;;;;;4.70;3.80;;;22.30;64.30;;;;;;5076927;28;20086;-40
517,2021/08/06 04:31:06;;;;;;;3.67;3.35;;;22.30;64.20;;;;;;5094862;28;20032;-42
518,2021/08/06 04:33:32;;;;;;;5.40;3.83;;;22.30;64.20;;;;;;5093695;28;20414;-42
519,2021/08/06 04:35:57;;;;;;;3.88;3.53;;;22.30;64.20;;;;;;5094570;28;20023;-45
520,2021/08/06 04:38:23;;;;;;;3.45;3.15;;;22.30;64.10;;;;;;5094799;28;20099;-44
521,2021/08/06 04:40:48;;;;;;;3.58;3.25;;;22.30;64.20;;;;;;5094771;28;20027;-46
522,2021/08/06 04:43:14;;;;;;;6.60;3.72;;;22.30;64.10;;;;;;5094598;28;20028;-43
523,2021/08/06 04:45:40;;;;;;;3.58;3.25;;;22.30;64.10;;;;;;5094534;28;20379;-41
524,2021/08/06 04:48:05;;;;;;;3.60;3.25;;;22.30;64.10;;;;;;5076403;28;20433;-41
525,2021/08/06 04:50:31;;;;;;;5.95;3.50;;;22.30;64.10;;;;;;5094438;28;20039;-42
526,2021/08/06 04:52:57;;;;;;;5.15;3.80;;;22.30;64.00;;;;;;5094264;28;20539;-43
527,2021/08/06 04:55:23;;;;;;;4.53;3.22;;;22.30;64.00;;;;;;5076136;28;20019;-46
528,2021/08/06 04:57:49;;;;;;;4.13;3.50;;;22.30;64.00;;;;;;5094375;28;20016;-41
529,2021/08/06 05:00:15;;;;;;;5.25;3.50;;;22.30;64.00;;;;;;5094169;28;20020;-40
530,2021/08/06 05:02:40;;;;;;;4.63;3.45;;;22.40;64.00;;;;;;5094285;28;20047;-44
531,2021/08/06 05:05:06;;;;;;;3.92;3.53;;;22.30;63.90;;;;;;5094082;28;20432;-42
532,2021/08/06 05:07:32;;;;;;;3.90;3.50;;;22.40;63.90;;;;;;5094406;28;20020;-44
533,2021/08/06 05:09:57;;;;;;;4.00;3.60;;;22.40;63.90;;;;;;5094088;28;20062;-45
534,2021/08/06 05:12:23;;;;;;;4.05;3.63;;;22.40;63.80;;;;;;5093906;28;20028;-42
535,2021/08/06 05:14:48;;;;;;;5.03;4.05;;;22.40;63.80;;;;;;5075892;28;20024;-45
536,2021/08/06 05:17:14;;;;;;;4.82;3.42;;;22.40;63.80;;;;;;5093980;28;20028;-43
537,2021/08/06 05:19:39;;;;;;;3.90;3.50;;;22.30;63.70;;;;;;5075709;28;20035;-43
538,2021/08/06 05:22:05;;;;;;;6.03;3.55;;;22.40;63.70;;;;;;5093932;28;20456;-41
539,2021/08/06 05:24:31;;;;;;;3.92;3.53;;;22.40;63.70;;;;;;5093954;28;20020;-42
540,2021/08/06 05:26:56;;;;;;;4.35;3.95;;;22.40;63.70;;;;;;5093871;28;20039;-44
541,2021/08/06 05:29:21;;;;;;;4.20;3.80;;;22.40;63.60;;;;;;5093490;28;20044;-43
542,2021/08/06 05:31:47;;;;;;;5.40;3.85;;;22.40;63.60;;;;;;5093591;28;20087;-41
543,2021/08/06 05:34:12;;;;;;;5.75;3.75;;;22.50;63.60;;;;;;5093829;28;20032;-41
544,2021/08/06 05:36:38;;;;;;;3.95;3.58;;;22.50;63.60;;;;;;5093452;28;20032;-41
545,2021/08/06 05:39:03;;;;;;;4.25;3.83;;;22.50;63.50;;;;;;5093496;28;20055;-42
546,2021/08/06 05:41:29;;;;;;;6.18;3.92;;;22.50;63.50;;;;;;5093703;28;20040;-46
547,2021/08/06 05:43:55;;;;;;;4.80;4.28;;;22.50;63.50;;;;;;5093460;28;20508;-41
548,2021/08/06 05:46:20;;;;;;;5.00;4.10;;;22.50;63.40;;;;;;5093407;28;20435;-40
549,2021/08/06 05:48:46;;;;;;;5.18;3.78;;;22.50;63.40;;;;;;5093523;28;20044;-40
550,2021/08/06 05:51:11;;;;;;;5.38;3.80;;;22.60;63.40;;;;;;5093291;28;20036;-41
551,2021/08/06 05:53:37;;;;;;;8.38;4.00;;;22.50;63.40;;;;;;5092161;28;20028;-40
552,2021/08/06 05:56:03;;;;;;;3.90;3.47;;;22.50;63.50;;;;;;5074722;28;20024;-40
553,2021/08/06 05:58:28;;;;;;;6.75;4.40;;;22.60;63.60;;;;;;5074838;28;20024;-40
554,2021/08/06 06:00:54;;;;;;;7.00;3.83;;;22.60;64.40;;;;;;5081103;28;20417;-39
555,2021/08/06 06:03:19;;;;;;;8.90;4.00;;;22.60;65.50;;;;;;5087311;28;20103;-39
556,2021/08/06 06:05:45;;;;;;;8.00;3.70;;;22.60;65.70;;;;;;5092362;28;20055;-42
557,2021/08/06 06:08:10;;;;;;;4.22;3.60;;;22.70;65.80;;;;;;5092775;28;20547;-41
558,2021/08/06 06:10:36;;;;;;;5.10;3.33;;;22.70;65.80;;;;;;5092151;28;20059;-43
559,2021/08/06 06:13:02;;;;;;;3.90;3.28;;;22.70;65.60;;;;;;5092050;28;20115;-41
560,2021/08/06 06:15:27;;;;;;;5.00;3.70;;;22.70;65.50;;;;;;5091885;28;20020;-44
561,2021/08/06 06:17:52;;;;;;;3.65;3.35;;;22.80;65.40;;;;;;5092434;28;20027;-42
562,2021/08/06 06:20:19;;;;;;;3.70;3.40;;;22.80;65.30;;;;;;5092617;28;20026;-44
563,2021/08/06 06:22:44;;;;;;;3.97;3.40;;;22.80;65.10;;;;;;5092075;28;20030;-42
564,2021/08/06 06:25:10;;;;;;;4.28;3.20;;;22.80;64.90;;;;;;5092054;28;20032;-41
565,2021/08/06 06:28:06;;;;;;;3.53;3.10;;;22.80;64.80;;;;;;5092143;28;20028;-41
566,2021/08/06 06:30:32;;;;;;;3.78;3.15;;;22.80;64.70;;;;;;5091286;28;20043;-40
567,2021/08/06 06:32:58;;;;;;;4.20;3.50;;;22.80;64.60;;;;;;5091520;28;20455;-43
568,2021/08/07 00:01:40;;;;;;;3.60;2.20;;;22.70;68.60;;;;;;5092601;28;20035;-55
569,2021/08/07 00:04:05;;;;;;;3.65;2.00;;;22.70;68.60;;;;;;5092837;28;20024;-51
570,2021/08/07 00:06:31;;;;;;;6.05;2.25;;;22.70;68.50;;;;;;5074665;28;20036;-52
571,2021/08/07 00:08:56;;;;;;;3.17;2.00;;;22.70;68.40;;;;;;5092638;28;20024;-56
572,2021/08/07 00:11:22;;;;;;;3.17;1.98;;;22.70;68.40;;;;;;5095950;28;20024;-53
573,2021/08/07 00:13:47;;;;;;;3.30;1.88;;;22.60;68.30;;;;;;5096509;28;20043;-56
574,2021/08/07 00:16:13;;;;;;;3.03;2.35;;;22.70;68.30;;;;;;5096599;28;20039;-56
575,2021/08/07 00:18:40;;;;;;;4.18;2.13;;;22.60;68.30;;;;;;5078574;28;20020;-57
576,2021/08/07 00:21:05;;;;;;;3.38;2.22;;;22.70;68.20;;;;;;5096567;28;20046;-51
577,2021/08/07 00:23:30;;;;;;;2.72;2.10;;;22.70;68.20;;;;;;5096441;28;20035;-50
578,2021/08/07 00:25:56;;;;;;;3.20;2.05;;;22.60;68.20;;;;;;5096360;28;20024;-57
579,2021/08/07 00:28:21;;;;;;;2.92;2.00;;;22.60;68.10;;;;;;5078012;28;20052;-56
580,2021/08/07 00:30:47;;;;;;;2.55;1.98;;;22.60;68.10;;;;;;5096184;28;20031;-53
581,2021/08/07 00:33:13;;;;;;;2.10;1.80;;;22.60;68.10;;;;;;5078093;28;20067;-52
582,2021/08/07 00:35:38;;;;;;;2.60;2.08;;;22.60;68.00;;;;;;5078258;28;20111;-56
583,2021/08/07 00:38:03;;;;;;;3.85;2.20;;;22.60;68.00;;;;;;5077943;28;20107;-57
584,2021/08/07 00:40:29;;;;;;;2.92;2.20;;;22.60;68.00;;;;;;5095964;28;20467;-52
585,2021/08/07 00:42:55;;;;;;;2.65;2.22;;;22.60;68.00;;;;;;5095868;28;20026;-52
586,2021/08/07 00:45:20;;;;;;;2.88;1.92;;;22.60;68.00;;;;;;5095960;28;20028;-55
587,2021/08/07 00:47:46;;;;;;;2.88;1.80;;;22.60;68.00;;;;;;5095822;28;20028;-51
588,2021/08/07 00:50:11;;;;;;;2.15;1.90;;;22.50;67.90;;;;;;5095838;28;20036;-57
589,2021/08/07 00:52:37;;;;;;;2.90;2.30;;;22.50;67.90;;;;;;5095913;28;20035;-53
590,2021/08/07 00:55:03;;;;;;;2.63;2.00;;;22.50;67.90;;;;;;5077717;28;20031;-53
591,2021/08/07 00:57:29;;;;;;;2.90;2.00;;;22.50;67.90;;;;;;5095704;28;20024;-54
592,2021/08/07 00:59:54;;;;;;;2.15;1.80;;;22.60;67.90;;;;;;5095652;28;20025;-54
593,2021/08/07 01:02:21;;;;;;;2.03;1.83;;;22.60;67.90;;;;;;5095357;28;20024;-56
594,2021/08/07 01:05:10;;;;;;;2.65;1.95;;;22.50;67.90;;;;;;5060990;28;20467;-54
595,2021/08/07 01:07:57;;;;;;;2.60;2.10;;;22.50;67.80;;;;;;5095626;28;20501;-53
596,2021/08/07 01:10:31;;;;;;;3.33;2.20;;;22.50;67.80;;;;;;5062944;28;20024;-57
597,2021/08/07 01:13:11;;;;;;;3.22;1.98;;;22.50;67.80;;;;;;5078186;28;20099;-58
598,2021/08/07 01:15:38;;;;;;;2.60;2.40;;;22.50;67.80;;;;;;5062059;28;20025;-55
599,2021/08/07 01:18:03;;;;;;;2.83;2.05;;;22.50;67.80;;;;;;5095286;28;20025;-58
600,2021/08/07 01:20:39;;;;;;;2.00;1.70;;;22.50;67.80;;;;;;5094987;28;20468;-54
601,2021/08/07 01:23:23;;;;;;;2.83;2.20;;;22.40;67.70;;;;;;5077713;28;20032;-51
602,2021/08/07 01:26:02;;;;;;;2.40;2.10;;;22.40;67.70;;;;;;5078126;28;20024;-54
603,2021/08/07 01:28:33;;;;;;;2.75;2.13;;;22.40;67.70;;;;;;5076617;28;20379;-55
604,2021/08/07 01:30:58;;;;;;;2.35;1.90;;;22.40;67.70;;;;;;5076951;28;20039;-57
605,2021/08/07 01:33:27;;;;;;;4.43;1.98;;;22.40;67.70;;;;;;5077005;28;20460;-55
606,2021/08/07 01:35:53;;;;;;;2.92;2.03;;;22.40;67.70;;;;;;5094964;28;20112;-54
607,2021/08/07 01:38:18;;;;;;;2.42;2.00;;;22.40;67.70;;;;;;5060267;28;20054;-52
608,2021/08/07 01:40:44;;;;;;;2.78;1.98;;;22.40;67.60;;;;;;5094951;28;20028;-57
609,2021/08/07 01:43:09;;;;;;;4.82;2.38;;;22.40;67.60;;;;;;5095013;28;20480;-57
610,2021/08/07 01:45:35;;;;;;;2.30;2.10;;;22.40;67.60;;;;;;5094841;28;20056;-57
611,2021/08/07 01:48:02;;;;;;;3.63;1.90;;;22.40;67.60;;;;;;5094762;28;20039;-54
612,2021/08/07 01:50:39;;;;;;;1.98;1.77;;;22.30;67.60;;;;;;5076593;28;20020;-50
613,2021/08/07 01:53:09;;;;;;;2.88;2.20;;;22.40;67.60;;;;;;5076535;28;20364;-57
614,2021/08/07 01:55:54;;;;;;;3.03;1.85;;;22.40;67.50;;;;;;5076698;28;20493;-51
615,2021/08/07 01:58:28;;;;;;;3.97;2.10;;;22.30;67.50;;;;;;5079045;28;20103;-56
616,2021/08/07 02:00:54;;;;;;;2.08;1.88;;;22.30;67.50;;;;;;5059845;28;20035;-56
617,2021/08/07 02:03:19;;;;;;;3.60;1.90;;;22.30;67.50;;;;;;5060116;28;20023;-55
618,2021/08/07 02:05:45;;;;;;;2.38;1.98;;;22.30;67.50;;;;;;5076282;28;20024;-52
619,2021/08/07 02:08:10;;;;;;;2.85;2.20;;;22.40;67.50;;;;;;5059614;28;20032;-50
620,2021/08/07 02:10:37;;;;;;;3.28;2.40;;;22.30;67.50;;;;;;5076282;28;20098;-52
621,2021/08/07 02:13:02;;;;;;;2.25;2.00;;;22.30;67.40;;;;;;5076329;28;20466;-49
622,2021/08/07 02:15:28;;;;;;;2.80;2.17;;;22.30;67.40;;;;;;5076140;28;20028;-51
623,2021/08/07 02:17:53;;;;;;;2.83;2.05;;;22.30;67.40;;;;;;5075912;28;20073;-51
624,2021/08/07 02:20:19;;;;;;;3.55;1.98;;;22.30;67.40;;;;;;5059412;28;20360;-55
625,2021/08/07 02:22:46;;;;;;;2.05;1.77;;;22.30;67.40;;;;;;5076011;28;20024;-54
626,2021/08/07 02:25:12;;;;;;;2.83;2.05;;;22.30;67.40;;;;;;5076102;28;20035;-52
627,2021/08/07 02:27:37;;;;;;;2.30;2.00;;;22.30;67.40;;;;;;5094052;28;20032;-58
628,2021/08/07 02:30:05;;;;;;;3.45;1.90;;;22.30;67.40;;;;;;5075831;28;20391;-57
629,2021/08/07 02:32:30;;;;;;;2.92;1.88;;;22.30;67.40;;;;;;5058476;28;20031;-57
630,2021/08/07 02:34:56;;;;;;;2.53;1.90;;;22.30;67.30;;;;;;5059135;28;20032;-56
631,2021/08/07 02:37:21;;;;;;;2.25;1.90;;;22.30;67.30;;;;;;5075658;28;20517;-57
632,2021/08/07 02:39:47;;;;;;;3.55;1.90;;;22.30;67.30;;;;;;5075906;28;20064;-53
633,2021/08/07 02:42:12;;;;;;;4.05;1.73;;;22.30;67.30;;;;;;5075704;28;20024;-55
634,2021/08/07 02:44:38;;;;;;;3.22;1.90;;;22.30;67.30;;;;;;5075762;28;20027;-58
635,2021/08/07 02:47:04;;;;;;;2.83;2.05;;;22.30;67.30;;;;;;5093543;28;20032;-56
636,2021/08/07 02:49:29;;;;;;;2.30;1.80;;;22.30;67.20;;;;;;5093586;28;20035;-55
637,2021/08/07 02:51:55;;;;;;;3.88;1.80;;;22.30;67.30;;;;;;5075604;28;20114;-51
638,2021/08/07 02:54:20;;;;;;;1.98;1.77;;;22.30;67.30;;;;;;5058692;28;20436;-56
639,2021/08/07 02:56:46;;;;;;;2.95;2.00;;;22.30;67.20;;;;;;5058664;28;20024;-50
640,2021/08/07 02:59:11;;;;;;;2.00;1.80;;;22.30;67.20;;;;;;5058793;28;20024;-50
641,2021/08/07 03:01:37;;;;;;;2.22;1.73;;;22.30;67.20;;;;;;5093609;28;20027;-55
642,2021/08/07 03:04:02;;;;;;;2.55;1.60;;;22.30;67.20;;;;;;5093072;28;20103;-54
643,2021/08/07 03:06:28;;;;;;;2.10;1.83;;;22.30;67.20;;;;;;5093262;28;20038;-57
644,2021/08/07 03:08:53;;;;;;;3.25;1.88;;;22.30;67.20;;;;;;5093434;28;20046;-52
645,2021/08/07 03:11:19;;;;;;;2.33;1.83;;;22.20;67.20;;;;;;5093185;28;20031;-56
646,2021/08/07 03:13:44;;;;;;;1.98;1.52;;;22.30;67.20;;;;;;5093022;28;20029;-55
647,2021/08/07 03:16:10;;;;;;;2.42;1.80;;;22.30;67.20;;;;;;5092984;28;20024;-55
648,2021/08/07 03:18:35;;;;;;;2.40;1.95;;;22.20;67.10;;;;;;5092962;28;20502;-56
649,2021/08/07 03:21:01;;;;;;;2.45;2.13;;;22.30;67.20;;;;;;5093104;28;20028;-57
650,2021/08/07 03:23:26;;;;;;;2.78;1.63;;;22.20;67.10;;;;;;5093161;28;20395;-55
651,2021/08/07 03:25:52;;;;;;;1.75;1.60;;;22.30;67.10;;;;;;5093129;28;20067;-56
652,2021/08/07 03:28:17;;;;;;;1.65;1.55;;;22.20;67.10;;;;;;5092771;28;20529;-55
653,2021/08/07 03:30:43;;;;;;;2.33;1.70;;;22.20;67.10;;;;;;5093158;28;20032;-56
654,2021/08/07 03:33:08;;;;;;;2.15;1.67;;;22.20;67.10;;;;;;5092840;28;20024;-56
655,2021/08/07 03:35:34;;;;;;;2.70;1.70;;;22.20;67.10;;;;;;5093006;28;20026;-56
656,2021/08/07 03:37:59;;;;;;;3.65;1.63;;;22.30;67.10;;;;;;5093022;28;20017;-55
657,2021/08/07 03:40:24;;;;;;;2.25;1.88;;;22.30;67.00;;;;;;5092916;28;20399;-56
658,2021/08/07 03:42:50;;;;;;;2.15;1.70;;;22.20;67.10;;;;;;5092889;28;20039;-54
659,2021/08/07 03:45:15;;;;;;;2.03;1.65;;;22.20;67.00;;;;;;5096325;28;20020;-51
660,2021/08/07 03:47:50;;;;;;;2.90;1.80;;;22.20;67.00;;;;;;5078916;28;20103;-49
661,2021/08/07 03:50:16;;;;;;;1.95;1.60;;;22.30;67.00;;;;;;5079106;28;20085;-51
662,2021/08/07 03:52:41;;;;;;;2.95;1.65;;;22.20;67.00;;;;;;5096885;28;20028;-51
663,2021/08/07 03:55:07;;;;;;;1.88;1.50;;;22.20;67.00;;;;;;5096906;28;20020;-51
664,2021/08/07 03:57:45;;;;;;;1.92;1.63;;;22.20;67.00;;;;;;5096749;28;20379;-51
665,2021/08/07 04:00:11;;;;;;;2.13;1.63;;;22.20;67.00;;;;;;5096854;28;20020;-51
666,2021/08/07 04:02:36;;;;;;;1.90;1.65;;;22.20;67.00;;;;;;5096741;28;20066;-51
667,2021/08/07 04:05:02;;;;;;;3.13;1.65;;;22.20;67.00;;;;;;5096941;28;20032;-49
668,2021/08/07 04:07:27;;;;;;;2.47;1.90;;;22.20;67.00;;;;;;5096744;28;20051;-56
669,2021/08/07 04:09:53;;;;;;;3.63;1.95;;;22.20;67.00;;;;;;5096710;28;20028;-50
670,2021/08/07 04:12:18;;;;;;;2.38;1.67;;;22.20;66.90;;;;;;5096566;28;20387;-51
671,2021/08/07 04:14:44;;;;;;;2.72;1.77;;;22.20;66.90;;;;;;5096347;28;20024;-56
672,2021/08/07 04:17:09;;;;;;;2.72;1.77;;;22.20;66.90;;;;;;5096560;28;20025;-56
673,2021/08/07 04:19:34;;;;;;;1.70;1.60;;;22.20;66.90;;;;;;5078260;28;20024;-56
674,2021/08/07 04:22:00;;;;;;;2.08;1.70;;;22.20;66.90;;;;;;5096416;28;20051;-56
675,2021/08/07 04:24:25;;;;;;;2.70;1.73;;;22.20;66.90;;;;;;5096146;28;20024;-55
676,2021/08/07 04:26:51;;;;;;;2.75;1.73;;;22.30;66.90;;;;;;5096258;28;20055;-56
677,2021/08/07 04:29:16;;;;;;;3.13;1.85;;;22.20;66.80;;;;;;5095945;28;20074;-57
678,2021/08/07 04:31:42;;;;;;;2.30;1.70;;;22.20;66.80;;;;;;5096305;28;20039;-56
679,2021/08/07 04:34:08;;;;;;;2.63;2.10;;;22.20;66.80;;;;;;5095931;28;20024;-56
680,2021/08/07 04:36:33;;;;;;;2.22;1.70;;;22.20;66.80;;;;;;5096131;28;20028;-56
681,2021/08/07 04:38:59;;;;;;;2.08;1.65;;;22.20;66.80;;;;;;5077825;28;20021;-49
682,2021/08/07 04:41:24;;;;;;;3.47;1.60;;;22.20;66.80;;;;;;5095771;28;20024;-51
683,2021/08/07 04:43:50;;;;;;;2.40;1.63;;;22.20;66.80;;;;;;5095993;28;20443;-50
684,2021/08/07 04:46:15;;;;;;;2.25;1.58;;;22.20;66.70;;;;;;5095706;28;20031;-53
685,2021/08/07 04:48:41;;;;;;;2.50;2.17;;;22.30;66.70;;;;;;5096189;28;20036;-50
686,2021/08/07 04:51:06;;;;;;;3.03;1.83;;;22.20;66.70;;;;;;5077677;28;20089;-52
687,2021/08/07 04:53:32;;;;;;;1.98;1.60;;;22.20;66.70;;;;;;5095712;28;20036;-51
688,2021/08/07 04:55:57;;;;;;;2.85;1.73;;;22.20;66.70;;;;;;5095087;28;20020;-52
689,2021/08/07 04:58:23;;;;;;;3.50;1.80;;;22.20;66.70;;;;;;5095687;28;20031;-56
690,2021/08/07 05:00:48;;;;;;;3.58;1.83;;;22.30;66.70;;;;;;5095790;28;20051;-57
691,2021/08/07 05:03:14;;;;;;;1.85;1.70;;;22.20;66.70;;;;;;5095791;28;20345;-56
692,2021/08/07 05:05:39;;;;;;;1.70;1.60;;;22.30;66.60;;;;;;5095420;28;20024;-49
693,2021/08/07 05:08:05;;;;;;;2.22;1.80;;;22.30;66.60;;;;;;5077503;28;20027;-55
694,2021/08/07 05:10:30;;;;;;;2.90;1.80;;;22.30;66.60;;;;;;5095313;28;20024;-57
695,2021/08/07 05:12:56;;;;;;;3.28;1.60;;;22.30;66.60;;;;;;5077090;28;20034;-53
696,2021/08/07 05:15:21;;;;;;;2.90;1.70;;;22.30;66.50;;;;;;5095597;28;20016;-56
697,2021/08/07 05:17:47;;;;;;;3.45;2.05;;;22.30;66.50;;;;;;5095145;28;20024;-54
698,2021/08/07 05:20:12;;;;;;;1.90;1.70;;;22.30;66.50;;;;;;5095415;28;20020;-55
699,2021/08/07 05:22:37;;;;;;;3.90;1.92;;;22.30;66.50;;;;;;5060466;28;20486;-55
700,2021/08/07 05:25:05;;;;;;;2.35;1.80;;;22.30;66.50;;;;;;5095298;28;20039;-53
701,2021/08/07 05:27:30;;;;;;;2.40;1.98;;;22.30;66.50;;;;;;5095213;28;20372;-53
702,2021/08/07 05:29:56;;;;;;;2.00;1.80;;;22.30;66.50;;;;;;5076950;28;20055;-56
703,2021/08/07 05:32:21;;;;;;;3.15;2.05;;;22.30;66.40;;;;;;5095154;28;20021;-54
704,2021/08/07 05:34:47;;;;;;;3.13;2.00;;;22.30;66.40;;;;;;5094805;28;20024;-52
705,2021/08/07 05:37:12;;;;;;;3.35;2.00;;;22.30;66.40;;;;;;5095181;28;20019;-57
706,2021/08/07 05:39:38;;;;;;;3.00;1.90;;;22.30;66.40;;;;;;5095011;28;20028;-57
707,2021/08/07 05:42:03;;;;;;;4.68;2.00;;;22.30;66.30;;;;;;5094585;28;20035;-52
708,2021/08/07 05:44:28;;;;;;;2.25;1.73;;;22.30;66.40;;;;;;5094836;28;20413;-55
709,2021/08/07 05:46:54;;;;;;;2.35;1.75;;;22.30;66.30;;;;;;5094724;28;20032;-53
710,2021/08/07 05:49:19;;;;;;;2.38;1.83;;;22.30;66.20;;;;;;5094404;28;20047;-54
711,2021/08/07 05:51:45;;;;;;;2.25;1.92;;;22.30;66.20;;;;;;5094349;28;20020;-54
712,2021/08/07 05:54:11;;;;;;;4.30;1.92;;;22.40;66.20;;;;;;5094353;28;20115;-55
713,2021/08/07 05:56:36;;;;;;;3.53;2.05;;;22.40;66.10;;;;;;5094198;28;20044;-57
714,2021/08/07 05:59:02;;;;;;;2.22;1.85;;;22.40;66.10;;;;;;5094473;28;20073;-56
715,2021/08/07 06:01:27;;;;;;;2.42;1.88;;;22.40;66.10;;;;;;5094494;28;20024;-54
716,2021/08/07 06:03:53;;;;;;;3.35;1.90;;;22.40;66.00;;;;;;5094280;28;20097;-52
717,2021/08/07 06:06:18;;;;;;;1.63;1.52;;;22.40;66.00;;;;;;5094393;28;20379;-55
718,2021/08/07 06:08:44;;;;;;;1.88;1.60;;;22.50;66.00;;;;;;5093343;28;20039;-55
719,2021/08/07 06:11:09;;;;;;;2.42;1.65;;;22.40;66.00;;;;;;5094296;28;20475;-56
720,2021/08/07 06:13:35;;;;;;;2.85;2.38;;;22.40;66.00;;;;;;5076181;28;20060;-54
721,2021/08/07 06:16:00;;;;;;;2.17;1.73;;;22.50;66.00;;;;;;5094238;28;20032;-54
722,2021/08/07 06:18:26;;;;;;;4.65;2.22;;;22.40;66.00;;;;;;5094025;28;20348;-51
723,2021/08/07 06:20:51;;;;;;;2.30;1.85;;;22.50;66.00;;;;;;5093899;28;20032;-54
724,2021/08/07 06:23:17;;;;;;;2.20;1.90;;;22.50;66.00;;;;;;5094016;28;20028;-55
725,2021/08/07 06:25:42;;;;;;;3.35;1.90;;;22.50;65.90;;;;;;5093979;28;20020;-56
726,2021/08/07 06:28:14;;;;;;;4.90;2.10;;;22.50;65.90;;;;;;5070535;28;20383;-53
727,2021/08/07 06:30:45;;;;;;;2.53;1.80;;;22.50;65.80;;;;;;5070294;28;20031;-49
728,2021/08/07 06:33:11;;;;;;;;;;;22.60;65.70;;;;;;5069681;28;20104;-52
729,2021/08/07 06:35:36;;;;;;;2.53;2.00;;;22.60;65.60;;;;;;5070442;28;19956;-52
730,2021/08/07 06:38:02;;;;;;;2.55;1.92;;;22.60;65.60;;;;;;5070407;28;20035;-50
