Datum,Zeit,PM10,PM25,PM100
25Oct2021,13:36:15,5.0,6.0,7.0
25Oct2021,13:36:16,5.0,6.0,6.0
25Oct2021,13:36:17,5.0,6.0,6.0
25Oct2021,13:36:18,5.0,6.0,6.0
25Oct2021,13:36:19,5.0,6.0,6.0
25Oct2021,13:36:20,5.0,6.0,6.0
25Oct2021,13:36:21,5.0,6.0,6.0
25Oct2021,13:36:22,5.0,6.0,6.0
25Oct2021,13:36:23,4.0,4.0,5.0
25Oct2021,13:36:24,4.0,4.0,4.0
25Oct2021,13:36:25,4.0,4.0,4.0
25Oct2021,13:36:26,4.0,4.0,4.0
25Oct2021,13:36:27,4.0,4.0,4.0
25Oct2021,13:36:28,5.0,5.0,5.0
25Oct2021,13:36:29,5.0,5.0,5.0
25Oct2021,13:36:30,5.0,5.0,5.0
25Oct2021,13:36:31,5.0,5.0,5.0
25Oct2021,13:36:32,4.0,4.0,4.0
25Oct2021,13:36:33,4.0,4.0,4.0
25Oct2021,13:36:34,4.0,4.0,4.0
25Oct2021,13:36:35,4.0,4.0,4.0
25Oct2021,13:36:36,4.0,4.0,4.0
25Oct2021,13:36:37,5.0,5.0,5.0
25Oct2021,13:36:38,6.0,6.0,6.0
25Oct2021,13:36:39,5.0,6.0,6.0
25Oct2021,13:36:40,5.0,6.0,6.0
25Oct2021,13:36:41,5.0,6.0,6.0
25Oct2021,13:36:42,5.0,6.0,6.0
25Oct2021,13:36:43,5.0,6.0,6.0
25Oct2021,13:36:44,6.0,6.0,6.0
25Oct2021,13:36:45,6.0,6.0,6.0
25Oct2021,13:36:46,6.0,6.0,6.0
25Oct2021,13:36:47,6.0,7.0,7.0
25Oct2021,13:36:48,6.0,7.0,7.0
25Oct2021,13:36:49,5.0,5.0,5.0
25Oct2021,13:36:50,5.0,5.0,5.0
25Oct2021,13:36:51,5.0,5.0,5.0
25Oct2021,13:36:52,5.0,5.0,5.0
25Oct2021,13:36:53,6.0,7.0,7.0
25Oct2021,13:36:54,5.0,6.0,6.0
25Oct2021,13:36:55,4.0,5.0,5.0
25Oct2021,13:36:56,4.0,5.0,5.0
25Oct2021,13:36:57,4.0,5.0,5.0
25Oct2021,13:36:58,4.0,5.0,5.0
25Oct2021,13:36:59,4.0,5.0,5.0
25Oct2021,13:37:00,4.0,4.0,4.0
25Oct2021,13:37:01,4.0,4.0,4.0
25Oct2021,13:37:02,4.0,4.0,4.0
25Oct2021,13:37:03,4.0,4.0,4.0
25Oct2021,13:37:04,4.0,4.0,4.0
25Oct2021,13:37:05,3.0,4.0,4.0
25Oct2021,13:37:06,3.0,4.0,4.0
25Oct2021,13:37:07,4.0,4.0,4.0
25Oct2021,13:37:08,4.0,5.0,5.0
25Oct2021,13:37:09,4.0,5.0,5.0
25Oct2021,13:37:10,5.0,5.0,5.0
25Oct2021,13:37:11,5.0,5.0,5.0
25Oct2021,13:37:12,5.0,5.0,5.0
25Oct2021,13:37:13,5.0,5.0,5.0
25Oct2021,13:37:14,5.0,6.0,6.0
25Oct2021,13:37:15,5.0,6.0,6.0
25Oct2021,13:37:16,5.0,6.0,6.0
25Oct2021,13:37:17,5.0,6.0,6.0
25Oct2021,13:37:18,5.0,6.0,6.0
25Oct2021,13:37:19,4.0,6.0,6.0
25Oct2021,13:37:20,4.0,6.0,6.0
25Oct2021,13:37:21,5.0,6.0,7.0
25Oct2021,13:37:22,4.0,5.0,6.0
25Oct2021,13:37:23,4.0,5.0,5.0
25Oct2021,13:37:24,4.0,5.0,5.0
25Oct2021,13:37:25,5.0,6.0,6.0
25Oct2021,13:37:26,5.0,6.0,6.0
25Oct2021,13:37:27,5.0,6.0,6.0
25Oct2021,13:37:28,4.0,4.0,5.0
25Oct2021,13:37:29,4.0,4.0,5.0
25Oct2021,13:37:30,3.0,4.0,5.0
25Oct2021,13:37:31,3.0,4.0,4.0
25Oct2021,13:37:32,3.0,4.0,4.0
25Oct2021,13:37:33,4.0,4.0,4.0
25Oct2021,13:37:34,4.0,4.0,4.0
25Oct2021,13:37:35,4.0,4.0,4.0
25Oct2021,13:37:36,4.0,4.0,4.0
25Oct2021,13:37:37,4.0,4.0,4.0
25Oct2021,13:37:38,4.0,5.0,5.0
25Oct2021,13:37:39,4.0,5.0,5.0
25Oct2021,13:37:40,5.0,6.0,6.0
25Oct2021,13:37:41,5.0,6.0,6.0
25Oct2021,13:37:42,5.0,6.0,6.0
25Oct2021,13:37:43,4.0,5.0,5.0
25Oct2021,13:37:44,4.0,5.0,5.0
25Oct2021,13:37:45,5.0,6.0,6.0
25Oct2021,13:37:46,5.0,6.0,6.0
25Oct2021,13:37:47,5.0,6.0,6.0
25Oct2021,13:37:48,5.0,6.0,6.0
25Oct2021,13:37:49,6.0,7.0,7.0
25Oct2021,13:37:50,6.0,7.0,7.0
25Oct2021,13:37:51,6.0,7.0,7.0
25Oct2021,13:37:52,6.0,7.0,7.0
25Oct2021,13:37:53,6.0,7.0,7.0
25Oct2021,13:37:54,6.0,7.0,8.0
25Oct2021,13:37:55,6.0,7.0,8.0
25Oct2021,13:37:56,6.0,7.0,7.0
25Oct2021,13:37:57,6.0,7.0,7.0
25Oct2021,13:37:58,6.0,7.0,7.0
25Oct2021,13:37:59,6.0,7.0,7.0
25Oct2021,13:38:00,6.0,7.0,7.0
25Oct2021,13:38:01,5.0,5.0,6.0
25Oct2021,13:38:02,5.0,5.0,6.0
25Oct2021,13:38:03,4.0,5.0,5.0
25Oct2021,13:38:04,4.0,5.0,5.0
